ProductId,Current stock,2026-07-13
CRSF100BS+PLOTBS+LSFT220BS+ICST64E27,24,19
CRSF100RR+PLOTRR+LSFT220RR+ICST64E27,95,70
PLDMBC,226,185
CRSF100OR+PHCH1PWRSOR+LSFT220OR,156,119
CRSF100RO+PHCHPBRRO+WCWDRO+LDMST64E274,167,133
12IP20240,122,0
12IP20180,399,362
CRSF100BM+PHSH1PBRYB+LSSS300RE,1215,975
LDWWB2225,0,0
LSHH240BB+RPR44WH,110,100
LSDO400RE+RPR44WH,29,5
CRSF100BM+PHSQ1PBRYB+LSFT220GR,0,1306
12IP67350,208,0
CRSF100BM+PHSH1PBRYB+LSSS300RE+ICST64E2740,1215,975
PHCT1BMRBM+PHBA1BMRBM+LSLT360NB,66,62
CRFF500RR+PHSH1PBRRR3PK+LSTF40RR3PK,19,18
CRFF108RO+WSST70RO+ICST64E27,80,72
CRFF108RO+WSST70RO+LSDM220RO,80,72
CRSF100RR+PLOTRR,95,70
LDWWE27255PK,98,87
PLBXRR+PLWP120RR+LSUL220RR,45,43
ENC2181,95,76
ENC4084,0,57
LDCWB2252PK,12,2
LDWWE2712APK,19,9
PLWP120BC+ICST64E27,121,115
PLWEBM+PHHT1PBRBM+WCSRBM+ICT45E2760,25,0
ENC4368,256,223
5IP2050,179,109
5IP20300,314,301
ENC3469,9,8
CRSF100BM+PHCN1PBRBM+CNT900BM+LSCY290BM,372,194
ENC4433,6,5
CRFF140BM+WSCH135BM+LSDO210RE,129,0
LDWWE2715APK,28,24
LDWWE2733PK,0,0
CRSF100SE+WSSM40BM+LSOL180SE+LDMST64E274,-,
